severity,file,line,snippet,claim,paper_value,recomputed_value,note
OK,paper/latex/main.tex,365,"\paragraph{(vi) Reported p-values are nominal and should not be over-claimed.} All p-values in this manuscript are unadjusted paired Wilcoxon signed-rank values on per-molecule absolute errors, where the paired sample unit is each individua",E71 vs E66 triplet paired Wilcoxon p,0.929,0.929312,|Δ|=0.00031 ≤ tol=0.001
OK,paper/latex/main.tex,455,\caption[Calibration under personalized heads explains the C-triplet gain]{Calibration under personalized heads explains the C-triplet gain. Three-panel decomposition relating \PC{}'s nominally significant C-triplet improvement reported in ,E71 vs E66 triplet paired Wilcoxon p,0.929,0.929312,|Δ|=0.00031 ≤ tol=0.001
OK,paper/latex/main.tex,323,"\item \textbf{E71 vs.\ \PC{} (E66):} $\Delta$MAE $= -0.006$~eV (\PC{} minus E71: $+0.006$~eV); bootstrap 95\,\% CI $(-0.044, +0.029)$; per-molecule wins 23 vs.\ 26; paired Wilcoxon $p = 0.929$ (n.s.). E71's effect size is well within seed-S",E71 vs E66 triplet wins/losses,23/26,23/26,exact match
OK,paper/latex/main.tex,324,"\item \textbf{E71 vs.\ FedPer (E63):} $\Delta$MAE $= -0.109$~eV; bootstrap 95\,\% CI $(-0.208, -0.010)$; per-molecule wins 32 vs.\ 17; paired Wilcoxon $p = 0.028$ (nominal). Adding the per-task-client $(\mu, \sigma)$ buffer to a plain FedPe",E71 vs E63 triplet wins/losses,32/17,32/17,exact match
OK,paper/latex/main.tex,325,"\item \textbf{E71 vs.\ \PC{} without calibration (E70):} $\Delta$MAE $= -0.125$~eV; bootstrap 95\,\% CI $(-0.224, -0.027)$; per-molecule wins 33 vs.\ 16; paired Wilcoxon $p = 0.021$ (nominal). Stripping calibration out of the full \PC{} arc",E71 vs E70 triplet wins/losses,33/16,33/16,exact match
OK,paper/latex/main.tex,324,"\item \textbf{E71 vs.\ FedPer (E63):} $\Delta$MAE $= -0.109$~eV; bootstrap 95\,\% CI $(-0.208, -0.010)$; per-molecule wins 32 vs.\ 17; paired Wilcoxon $p = 0.028$ (nominal). Adding the per-task-client $(\mu, \sigma)$ buffer to a plain FedPe",E71 vs E63 triplet ΔMAE,-0.109,-0.108495,|Δ|=0.00051 ≤ tol=0.001
OK,paper/latex/main.tex,355,"\paragraph{(i) Task-specific calibration under personalized heads carries the only ablation-detectable signal.} The targeted E71 control (FedPer + per-task-client $(\mu, \sigma)$ calibration only, no adapter, no transferability gate) yields",E71 vs E63 triplet ΔMAE,-0.109,-0.108495,|Δ|=0.00051 ≤ tol=0.001
OK,paper/latex/main.tex,455,\caption[Calibration under personalized heads explains the C-triplet gain]{Calibration under personalized heads explains the C-triplet gain. Three-panel decomposition relating \PC{}'s nominally significant C-triplet improvement reported in ,E71 vs E63 triplet ΔMAE,-0.109,-0.108495,|Δ|=0.00051 ≤ tol=0.001
OK,paper/latex/main.tex,325,"\item \textbf{E71 vs.\ \PC{} without calibration (E70):} $\Delta$MAE $= -0.125$~eV; bootstrap 95\,\% CI $(-0.224, -0.027)$; per-molecule wins 33 vs.\ 16; paired Wilcoxon $p = 0.021$ (nominal). Stripping calibration out of the full \PC{} arc",E71 vs E70 triplet ΔMAE,-0.125,-0.124911,|Δ|=0.00009 ≤ tol=0.001
OK,paper/latex/main.tex,455,\caption[Calibration under personalized heads explains the C-triplet gain]{Calibration under personalized heads explains the C-triplet gain. Three-panel decomposition relating \PC{}'s nominally significant C-triplet improvement reported in ,E71 vs E70 triplet ΔMAE,-0.125,-0.124911,|Δ|=0.00009 ≤ tol=0.001
OK,paper/latex/main.tex,308,"\paragraph{On C-hole ($n=53$ LOOCV)} All evaluated methods produce MAE in a narrow band of \SI{0.368}{}--\SI{0.414}{\eV} (Figure~\ref{fig:main} left, Table~\ref{tab:main-perf}). The eight paired comparisons we performed all return $p \ge 0.",C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/latex/main.tex,363,"\paragraph{(v) C-hole shows no method separation at the present sample size.} All federated methods evaluated in this study~---~FedAvg, FedProx, FedPer, \PC{}, E70, E71 and the local-only baseline~---~produce C-hole MAEs in a narrow \SI{0.3",C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/latex/main.tex,403,"On a five-node organic-electronics federation, the method achieves nominally significant MAE reductions on triplet-reorganization-energy prediction over FedAvg, FedProx and FedPer (paired Wilcoxon $p = 0.042$--$0.045$; Figure~\ref{fig:main}",C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/latex/main.tex,448,\caption[Main performance comparison]{Main performance comparison. Mean absolute error (eV) for five federated methods evaluated by 5-seed leave-one-out cross-validation on \textbf{(left)} C-hole ($n = 53$) and \textbf{(right)} C-triplet ($,C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/SI.md,295,"PC²-FedReorg achieves the lowest MAE; paired Wilcoxon tests against FedAvg, FedProx and FedPer give p = 0.045, 0.045 and 0.042 respectively (Section S6).",E66 vs FedAvg/FedProx/FedPer triplet p,0.045/0.045/0.042,0.044884/0.044884/0.041704,|Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00030 ≤ tol=0.001
OK,paper/SI.md,281,All methods produce MAE within the narrow band 0.368–0.414 eV.  All paired tests return p ≥ 0.20 after rounding (Section S6).  We report PC² as competitive but statistically indistinguishable from the baselines on C-hole.,C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/SI.md,609,"All evaluated methods produce MAE in the narrow band 0.368–0.414 eV on n = 53 C-hole LOOCV, with no paired test reaching significance. The best classical baseline R² on the same data is −0.10 (KNN). It is unclear from this dataset alone whe",C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/latex/SI.tex,332,"\PC{} achieves the lowest MAE; paired Wilcoxon tests against FedAvg, FedProx and FedPer give $p = 0.045, 0.045, 0.042$ respectively (Section~\ref{si:paired}).",E66 vs FedAvg/FedProx/FedPer triplet p,0.045/0.045/0.042,0.044884/0.044884/0.041704,|Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00030 ≤ tol=0.001
OK,paper/latex/SI.tex,315,All methods produce MAE within the narrow band 0.368--0.414 eV; all paired tests return $p \ge 0.20$ after rounding (Section~\ref{si:paired}).,C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/latex/SI.tex,592,"All evaluated methods produce MAE in the narrow band \SI{0.368}{}--\SI{0.414}{\eV} on $n = 53$ C-hole LOOCV, with no paired test reaching significance. Expanding C-hole through additional $\omega$B97X-D conformer-resolved measurements is th",C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
